"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","스토어는 여러 상태 변경을 지원한다","authStore","2026-08-05","passed","2026-08-05","","","",""
"","232","TEMP: 이메일과 비밀번호를 입력하고 제출하면 항상 로그인에 성공하여 /main으로 이동한다","LoginPage","2026-08-05","passed","2026-08-05","","로그인 폼 (UI 및 입력)","",""
"","51","로딩 중에는 안내 문구가 표시된다","ItemIncomingPendingPage","2026-08-05","passed","2026-08-05","","","",""
"","0","알 수 없는 경로는 빈 Set을 반환한다","getInitiallyExpandedKeys","2026-08-05","passed","2026-08-05","","","",""
"","2","토큰 없으면 401 에러를 던진다","withdraw API","2026-08-05","passed","2026-08-05","","","",""
"","0","sortBy/sortOrder로 오름차순 정렬된 결과를 반환한다","item API","2026-08-05","passed","2026-08-05","","","",""
"","2","statusCode가 200이 아니면 에러를 던진다","api client","2026-08-05","passed","2026-08-05","","","",""
"","1","redirect는 /login으로 이동시킨다","requireAuth","2026-08-05","passed","2026-08-05","","","",""
"","133","""다음 페이지"" 클릭 시 getItems가 다음 page로 재호출된다","ItemRegisterPage","2026-08-05","passed","2026-08-05","","","",""
"","146","검색어를 입력만 하고 검색 버튼을 누르지 않으면 getItems가 재호출되지 않는다","ItemRegisterPage","2026-08-05","passed","2026-08-05","","","",""
"","5","accessToken이 없으면 redirect를 throw한다","requireAuth","2026-08-05","passed","2026-08-05","","","",""
"","2","서버 오류 시 에러를 던진다","login API","2026-08-05","passed","2026-08-05","","","",""
"","1","JWT 형식이 아닌 토큰은 거부한다","requireAuth","2026-08-05","passed","2026-08-05","","","",""
"","2","성공 시 token을 포함한 응답을 반환한다","otpLogin API","2026-08-05","passed","2026-08-05","","","",""
"","58","Logout 버튼 클릭 시 isLoggedIn이 false가 된다","Header","2026-08-05","passed","2026-08-05","","","",""
"","216","제목과 준비중 안내 문구를 렌더링한다","InstitutionLocationPage","2026-08-05","passed","2026-08-05","","","",""
"","2","에러 배열이 비어있으면 기본 에러 메시지를 사용한다","api client","2026-08-05","passed","2026-08-05","","","",""
"","1","UTC 날짜시간을 KST YYYY.MM.DD HH:mm 형식으로 변환한다","formatDateTime","2026-08-05","passed","2026-08-05","","","",""
"","136","현재 경로에 해당하는 대메뉴는 초기에 펼쳐진다","Sidebar","2026-08-05","passed","2026-08-05","","","",""
"","0","토큰이 없을 때마다 redirect가 호출된다","requireAuth","2026-08-05","passed","2026-08-05","","","",""
"","0","유효한 JWT 토큰이 있으면 true를 반환한다","isAuthValid","2026-08-05","passed","2026-08-05","","","",""
"","530","Turnstile 인증 성공 시 에러 메시지가 표시되지 않는다","LoginPage","2026-08-05","passed","2026-08-05","","Turnstile (봇 차단)","",""
"","17","Turnstile 인증 만료 시 에러 메시지가 표시된다","LoginPage","2026-08-05","passed","2026-08-05","","Turnstile (봇 차단)","",""
"","6","sortBy/sortOrder로 내림차순 정렬된 결과를 반환한다","item API","2026-08-05","passed","2026-08-05","","","",""
"","55","본인인증 SDK 호출 중 에러 메시지를 표시한다","LoginPage","2026-08-05","passed","2026-08-05","","본인인증","",""
"","1","sortBy/sortOrder로 내림차순 정렬된 결과를 반환한다","itemIncoming API","2026-08-05","passed","2026-08-05","","","",""
"","16","데이터가 없으면 안내 문구가 표시된다","DataTable","2026-08-05","passed","2026-08-05","","","",""
